Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Acceptance Criteria),Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Atlassian Project),Custom field (Atlassian project),Custom field (Atlassian project status),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Comments),Custom field (Confidence),Custom field (Control Cadence),Custom field (Decision Date),Custom field (Decision ID),Custom field (Decision Outcome),Custom field (Decision Questions),Custom field (Decision Rationale),Custom field (Decision Status),Custom field (Definition Status),Custom field (Delivery progress),Custom field (Delivery status),Custom field (Dependency Notes),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Evidence Required),Custom field (Exclusions),Custom field (External issue ID),Custom field (Focus Areas),Custom field (Gate ID),Custom field (Gate Status),Custom field (Goals),Custom field (Idea archived),Custom field (Idea archived on),Custom field (Impact),Custom field (Insights),Custom field (Issue color),Custom field (Linked items),Custom field (Locked forms),Custom field (Open forms),Custom field (Options Considered),Custom field (Parent WBS ID),Custom field (Planning Notes),Custom field (Project overview key),Custom field (Project overview status),Custom field (Purpose),Custom field (Rank),Custom field (Request Type),Custom field (Required Evidence),Custom field (Required Inputs),Custom field (Required Outputs),Custom field (Risk Level),Custom field (Scope),Custom field (Sentiment),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Unlocks WBS IDs),Custom field (Vulnerability),Custom field (WBS ID),Custom field (Work item created forms),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Design Optimisation,SS-334,10384,Domain,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:31 AM,23/Jun/26 10:31 AM,,,,0,"Define how admissible barrier designs will be sampled, compared, optimised and selected.",,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"The design space, objectives, constraints, algorithms, robustness treatment and stopping rules are sufficiently defined for implementation.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,Supplies the formal design problem to RES-ML and Software.,{},,,,,Execution of the final optimisation campaign and declaration of the final design.,40009,,,,,,,,,,,,,,RES,Research Domain; final hierarchy depth. Maintain evidence in res-opt.bib and analysis/specification in res-opt.tex.,,,"Define how admissible barrier designs will be sampled, compared, optimised and selected.",0|i000mv:,,res-opt.tex and res-opt.bib; accepted outputs from all child Deliverables.,"RES-GEO variables, RES-PHY/VER metrics, RES-STR constraints, RES-DAT scenarios, RES-SUS indicators and computational limits.",A cited optimisation specification in res-opt.tex supported by res-opt.bib.,Medium,"Problem definition, objectives, constraints, design of experiments, algorithms, multi-objective decisions, robustness, computational budget and integrated specification.",,,,,,,,,,,,RES-OPT,,,,10376,SS-326,Research and Scientific Basis,To Do,23/Jun/26 10:31 AM
Machine-Learning Methodology,SS-335,10385,Domain,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:31 AM,23/Jun/26 10:31 AM,,,,0,"Define where machine learning adds value and how learned models will be built, assessed and integrated.",,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"Retained ML uses are justified against non-ML baselines and have controlled data, assessment and integration requirements.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,Supplies ML implementation and experiment requirements to Software.,{},,,,,"Production ML code, final training runs, model deployment and replacement of high-fidelity confirmation without evidence.",40010,,,,,,,,,,,,,,RES,Research Domain; final hierarchy depth. Maintain evidence in res-ml.bib and analysis/specification in res-ml.tex.,,,"Define where machine learning adds value and how learned models will be built, assessed and integrated.",0|i000n3:,,res-ml.tex and res-ml.bib; accepted outputs from all child Deliverables.,"RES-OPT problem definition, simulation outputs, RES-GEO representations, RES-DAT cases, RES-VER uncertainty methods and computational budget.",A cited machine-learning specification in res-ml.tex supported by res-ml.bib.,Medium,"Use cases, learning data, representations, algorithms, losses/rewards, surrogates and active learning, training, generalisation, uncertainty, interpretability and integration.",,,,,,,,,,,,RES-ML,,,,10376,SS-326,Research and Scientific Basis,To Do,23/Jun/26 10:31 AM
Sustainability and Environmental Impact,SS-336,10386,Domain,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:31 AM,23/Jun/26 10:31 AM,,,,0,Provide a proportionate assessment of material and computational environmental impacts.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,Material and computational impacts can be compared consistently and limitations of the abbreviated assessment are explicit.,,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,"Supplies secondary objectives, constraints or contextual indicators to RES-OPT.",{},,,,,"Full lifecycle assessment, detailed ecological modelling, sediment-impact studies, marine construction planning, supply-chain analysis and monetary lifecycle costing.",40011,,,,,,,,,,,,,,RES,Research Domain; final hierarchy depth. Maintain evidence in res-sus.bib and analysis/specification in res-sus.tex.,,,Provide a proportionate assessment of material and computational environmental impacts.,0|i000nb:,,res-sus.tex and res-sus.bib; accepted outputs from all child Deliverables.,"RES-GEO geometry, RES-STR material/durability information, RES-NUM computational methods, RES-OPT campaigns and RES-ML training requirements.",A short cited sustainability assessment in res-sus.tex supported by res-sus.bib.,Medium,Material use and environmental burden; computational resource use and environmental efficiency.,,,,,,,,,,,,RES-SUS,,,,10376,SS-326,Research and Scientific Basis,To Do,23/Jun/26 10:31 AM
Tsunami Generation and Source Physics,SS-337,10387,Deliverable,In Progress,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:31 AM,23/Jun/26 10:42 AM,23/Jun/26 11:02 AM,,,0,Define the physical mechanisms linking earthquake-induced seabed deformation to tsunami generation.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"The baseline source representation and any higher-fidelity alternatives are defined with assumptions, applicability and required data.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,Depends on RES-DAT-SRC and informs RES-MOD-SYS and RES-MOD-IBC.,{},,,,,Selection and provenance of event datasets; numerical projection of the source onto a mesh.,40012,,,,,,,,,,,,,,RES-PHY,Research Deliverable; no lower Jira level is planned. Record citations in res-phy.bib and the research output in res-phy.tex.,,,Define the physical mechanisms linking earthquake-induced seabed deformation to tsunami generation.,0|i000nj:,,"Cited equations, comparison table and source-model rationale.",RES-DAT-SRC; relevant source-physics literature.,A source-physics definition and justified hierarchy of candidate source representations.,Medium,"Fault geometry, slip and rupture behaviour, seabed displacement, source duration, transfer to the free surface, initial velocity and simplified versus time-dependent source representations.",,,,,,,,,,,,RES-PHY-SRC,,,,10377,SS-327,Tsunami and Coastal Fluid Dynamics,In Progress,23/Jun/26 10:42 AM
Offshore Propagation and Wave Transformation,SS-338,10388,Deliverable,In Progress,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:31 AM,23/Jun/26 10:42 AM,,,,0,Characterise the dominant physics governing long-distance tsunami propagation before the nearshore region.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,The controlling propagation mechanisms and the conditions under which shallow-water or dispersive effects matter are defined.,,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,Depends on RES-PHY-SRC and RES-DAT-GEO; informs RES-MOD-EQS.,{},,,,,Numerical scheme selection and event-specific dataset processing.,40013,,,,,,,,,,,,,,RES-PHY,Research Deliverable; no lower Jira level is planned. Record citations in res-phy.bib and the research output in res-phy.tex.,,,Characterise the dominant physics governing long-distance tsunami propagation before the nearshore region.,0|i000nr:,,"Cited regime criteria, dimensionless comparisons and physical-process map.",RES-PHY-SRC; RES-DAT-GEO; propagation literature.,An offshore propagation-physics specification and regime map.,Medium,"Long-wave propagation, phase speed, amplitude evolution, geometric spreading, refraction, reflection, bathymetric steering, nonlinearity, dispersion, bottom friction and possible Coriolis effects.",,,,,,,,,,,,RES-PHY-PRO,,,,10377,SS-327,Tsunami and Coastal Fluid Dynamics,In Progress,23/Jun/26 10:42 AM
"Nearshore Transformation, Run-Up and Inundation",SS-339,10389,Deliverable,In Progress,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:31 AM,23/Jun/26 10:42 AM,,,,0,Define the physical processes governing tsunami transformation near the shoreline and over land.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"Nearshore phenomena, terminology, relevant outputs and model requirements are stated without ambiguity.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,Depends on RES-PHY-PRO and RES-DAT-GEO; informs RES-MOD and RES-NUM-WET.,{},,,,,Discrete wetting-and-drying algorithms and final validation execution.,40014,,,,,,,,,,,,,,RES-PHY,Research Deliverable; no lower Jira level is planned. Record citations in res-phy.bib and the research output in res-phy.tex.,,,Define the physical processes governing tsunami transformation near the shoreline and over land.,0|i000nz:,,"Cited process definitions, diagrams and quantity definitions.",RES-DAT-GEO; RES-PHY-PRO; nearshore literature.,"A nearshore-physics specification with controlled definitions of run-up, inundation and shoreline response.",Medium,"Shoaling, steepening, breaking, bore formation, shoreline movement, wetting and drying, run-up, drawdown, inundation, return flow and interaction with topography.",,,,,,,,,,,,RES-PHY-NRS,,,,10377,SS-327,Tsunami and Coastal Fluid Dynamics,In Progress,23/Jun/26 10:42 AM
Barrier–Flow Interaction and Energy Dissipation,SS-340,10390,Deliverable,In Progress,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:31 AM,23/Jun/26 10:42 AM,,,,0,Define how candidate barriers alter tsunami flow and dissipate or redirect energy.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,The mechanisms by which barrier geometry affects flow and energy are traceable to measurable outputs.,,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,"Depends on RES-PHY-NRS and RES-GEO; informs RES-MOD, RES-OPT and RES-ML.",{},,,,,"Detailed geometry generation, numerical flux implementation and optimisation execution.",40015,,,,,,,,,,,,,,RES-PHY,Research Deliverable; no lower Jira level is planned. Record citations in res-phy.bib and the research output in res-phy.tex.,,,Define how candidate barriers alter tsunami flow and dissipate or redirect energy.,0|i000o7:,,"Cited energy-budget definitions, process map and comparison framework.",RES-GEO candidate concepts; RES-PHY-NRS; barrier-flow literature.,A barrier-interaction model and consistent incident–reflected–transmitted–dissipated energy framework.,Medium,"Reflection, transmission, porosity, flow obstruction, separation, wakes, vortices, turbulence, drag, pressure loss, local free-surface deformation, multi-row interactions and energy transfer.",,,,,,,,,,,,RES-PHY-BAR,,,,10377,SS-327,Tsunami and Coastal Fluid Dynamics,In Progress,23/Jun/26 10:42 AM
Hydrodynamic Loading and Impact Physics,SS-341,10391,Deliverable,In Progress,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:31 AM,23/Jun/26 10:42 AM,,,,0,"Characterise the pressure, force, impulse and moment generated by tsunami interaction with barriers.",,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"Peak pressure, peak force, impulse, moment and load duration are distinguished and linked to extraction methods.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,Depends on RES-PHY-BAR; supplies inputs to RES-STR-LOD.,{},,,,,"Structural constitutive behaviour, failure modelling and finite-element implementation.",40016,,,,,,,,,,,,,,RES-PHY,Research Deliverable; no lower Jira level is planned. Record citations in res-phy.bib and the research output in res-phy.tex.,,,"Characterise the pressure, force, impulse and moment generated by tsunami interaction with barriers.",0|i000of:,,"Cited load definitions, equations and load-component table.",RES-PHY-BAR; relevant loading literature.,A hydrodynamic-load taxonomy and load-transfer requirements for structural analysis.,Medium,"Hydrostatic and hydrodynamic loading, drag, inertia, buoyancy, uplift, bore impact, slamming, pressure distribution, impulse, cyclic loading and resultant moments.",,,,,,,,,,,,RES-PHY-LOD,,,,10377,SS-327,Tsunami and Coastal Fluid Dynamics,In Progress,23/Jun/26 10:42 AM
"Dimensional Analysis, Scaling and Flow Regimes",SS-342,10392,Deliverable,In Progress,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:31 AM,23/Jun/26 10:42 AM,,,,0,Identify the dimensionless parameters and scaling relationships controlling the modelled flow regimes.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"Dominant effects, defensible simplifications and 2D/3D transition criteria are stated.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,"Informs RES-MOD-ASM, RES-MOD-MUL, RES-GEO and RES-VER.",{},,,,,Numerical convergence analysis and detailed laboratory programme design.,40017,,,,,,,,,,,,,,RES-PHY,Research Deliverable; no lower Jira level is planned. Record citations in res-phy.bib and the research output in res-phy.tex.,,,Identify the dimensionless parameters and scaling relationships controlling the modelled flow regimes.,0|i000on:,,"Cited dimensionless definitions, regime boundaries and scaling rationale.",RES-PHY process definitions; RES-GEO descriptors; relevant scaling literature.,"A dimensionless parameter set, scaling framework and physical regime map.",Medium,"Froude and Reynolds numbers, relative wave height and depth, blockage, porosity, submergence, spacing, geometry Reynolds number, Strouhal number and field-to-model scaling.",,,,,,,,,,,,RES-PHY-SCL,,,,10377,SS-327,Tsunami and Coastal Fluid Dynamics,In Progress,23/Jun/26 10:42 AM
Integrated Physical-Phenomena Model,SS-343,10393,Deliverable,In Progress,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:31 AM,23/Jun/26 10:42 AM,23/Jun/26 10:45 AM,,,0,Combine the physical research into one coherent account of the tsunami–barrier system.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"Every included phenomenon has a defined location, importance, variable set, intended model and validation route; exclusions are explicit.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,Consolidates RES-PHY and provides a principal input to RES-MOD-SPEC.,{},,,,,"Detailed mathematical formulation, numerical implementation and post-simulation results.",40018,,,,,,,,,,,,,,RES-PHY,Research Deliverable; no lower Jira level is planned. Record citations in res-phy.bib and the research output in res-phy.tex.,,,Combine the physical research into one coherent account of the tsunami–barrier system.,0|i000ov:,,"Integrated process map, requirement matrix and cited synthesis.","All RES-PHY deliverables and relevant outputs from RES-DAT, RES-GEO and RES-STR.",An integrated physical-phenomena map and physical requirements passed to later Domains.,Medium,"Source, propagation, bathymetric transformation, nearshore effects, barrier interaction, energy dissipation, loading, structural response links and required outputs.",,,,,,,,,,,,RES-PHY-SYN,,,,10377,SS-327,Tsunami and Coastal Fluid Dynamics,In Progress,23/Jun/26 10:42 AM
"Bathymetry, Topography and Coastal Geometry",SS-344,10394,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:31 AM,23/Jun/26 10:31 AM,,,,0,Select and define the spatial environmental data used to represent the coastal domain.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"Horizontal coordinates, vertical datum, sign convention, resolution, coverage and known limitations are controlled.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,"Informs RES-DAT-CAS, RES-MOD-SYS and RES-NUM-IBC.",{},,,,,"Governing equations, numerical interpolation algorithms and mesh generation.",40019,,,,,,,,,,,,,,RES-DAT,Research Deliverable; no lower Jira level is planned. Record citations in res-dat.bib and the research output in res-dat.tex.,,,Select and define the spatial environmental data used to represent the coastal domain.,0|i000p3:,,"Dataset metadata, provenance, coverage maps and compatibility checks.",Candidate spatial datasets and spatial requirements from RES-PHY and RES-MOD.,An approved spatial-data specification and selected bathymetry/topography sources.,Medium,"Offshore and nearshore bathymetry, terrestrial elevation, coastline geometry, seabed slope, coordinate reference systems, vertical datums, resolution and dataset joining.",,,,,,,,,,,,RES-DAT-GEO,,,,10378,SS-328,Environmental Data and Case-Study Definition,To Do,23/Jun/26 10:31 AM
Earthquake and Tsunami Source Data,SS-345,10395,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:31 AM,23/Jun/26 10:31 AM,,,,0,Select the event-specific earthquake and seabed-displacement data required to initialise the tsunami model.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,The chosen data can be traced to authoritative sources and mapped to the required initial-condition variables.,,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,"Supplies data to RES-PHY-SRC, RES-MOD-IBC and RES-DAT-CAS.",{},,,,,The mathematical source or initial-condition formulation and its numerical enforcement.,40020,,,,,,,,,,,,,,RES-DAT,Research Deliverable; no lower Jira level is planned. Record citations in res-dat.bib and the research output in res-dat.tex.,,,Select the event-specific earthquake and seabed-displacement data required to initialise the tsunami model.,0|i000pb:,,"Dataset citations, metadata, comparison matrix and selected-value record.",Published earthquake source datasets; requirements from RES-PHY-SRC and RES-MOD-IBC.,A selected source dataset or source-model family with documented uncertainty and applicability.,Medium,"Magnitude, epicentre, fault geometry and segmentation, strike, dip, rake, slip distribution, rupture timing, hypocentre, seabed deformation and competing source inversions.",,,,,,,,,,,,RES-DAT-SRC,,,,10378,SS-328,Environmental Data and Case-Study Definition,To Do,23/Jun/26 10:31 AM
Observational and Validation Data,SS-346,10396,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:31 AM,23/Jun/26 10:31 AM,,,,0,"Select observational records used for event reconstruction, testing and later model assessment.",,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"Every retained observation has controlled units, coordinates, time basis, measurement method and permitted use.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,Supplies references to RES-VER and event specifications to RES-DAT-CAS.,{},,,,,The mathematical definitions of model conditions and execution of validation campaigns.,40021,,,,,,,,,,,,,,RES-DAT,Research Deliverable; no lower Jira level is planned. Record citations in res-dat.bib and the research output in res-dat.tex.,,,"Select observational records used for event reconstruction, testing and later model assessment.",0|i000pj:,,"Observation metadata, source links, uncertainty notes and location catalogue.",Authoritative observational datasets and metric definitions from RES-VER-MET.,"An approved observation catalogue with quantities, locations, time references and uncertainty.",Medium,"Buoy and tide-gauge records, arrival times, free-surface histories, run-up measurements, inundation depths and extents, flow estimates, observation coordinates, sampling intervals and uncertainty.",,,,,,,,,,,,RES-DAT-OBS,,,,10378,SS-328,Environmental Data and Case-Study Definition,To Do,23/Jun/26 10:32 AM
Scenario and Severity Definition,SS-347,10397,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:32 AM,23/Jun/26 10:32 AM,,,,0,"Define reproducible baseline, reference, severity and robustness scenarios.",,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,Each scenario is reproducible and severity is defined through measurable physical inputs rather than labels alone.,,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,"Supplies scenario sets to RES-OPT, RES-ML and later simulation campaigns.",{},,,,,Optimisation execution and arbitrary severity labels without physical parameter definitions.,40022,,,,,,,,,,,,,,RES-DAT,Research Deliverable; no lower Jira level is planned. Record citations in res-dat.bib and the research output in res-dat.tex.,,,"Define reproducible baseline, reference, severity and robustness scenarios.",0|i000pr:,,"Scenario table, parameter definitions and provenance links.","RES-DAT-GEO, RES-DAT-SRC, project objectives and performance requirements.","A scenario matrix with stable identifiers, physical parameters and comparison baselines.",Medium,"No-barrier baseline, primary Tohoku event, severity cases, water-level variation, source uncertainty, bathymetric uncertainty, geometry-placement cases and robustness scenarios.",,,,,,,,,,,,RES-DAT-SCN,,,,10378,SS-328,Environmental Data and Case-Study Definition,To Do,23/Jun/26 10:32 AM
"Data Quality, Uncertainty and Provenance",SS-348,10398,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:32 AM,23/Jun/26 10:32 AM,,,,0,"Assess the reliability, uncertainty, licensing and traceability of all selected datasets.",,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"Every selected dataset has a suitability status, uncertainty statement, version and reproducible provenance.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,"Informs RES-VER-UQ, RES-OPT-ROB and RES-ML-DAT.",{},,,,,Full probabilistic propagation of uncertainty through completed simulations.,40023,,,,,,,,,,,,,,RES-DAT,Research Deliverable; no lower Jira level is planned. Record citations in res-dat.bib and the research output in res-dat.tex.,,,"Assess the reliability, uncertainty, licensing and traceability of all selected datasets.",0|i000pz:,,"Quality register, source records, uncertainty estimates and rejection rationale.",All RES-DAT candidate and selected datasets.,"A data-quality register, provenance record and input-uncertainty specification.",Medium,"Measurement uncertainty, spatial and temporal resolution, interpolation effects, datum and coordinate errors, missing data, conflicting sources, versioning, licensing and suitability classification.",,,,,,,,,,,,RES-DAT-UNC,,,,10378,SS-328,Environmental Data and Case-Study Definition,To Do,23/Jun/26 10:32 AM
Integrated Tsunami Case-Study Specifications,SS-349,10399,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:32 AM,23/Jun/26 10:32 AM,,,,0,"Assemble complete, reproducible specifications for the primary development event and a secondary held-out earthquake-generated tsunami event.",,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"The solver can use the same mathematical and numerical architecture for both events, with only event-specific data and domain values changed.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,Primary event supports development and training; secondary event supports cross-event assessment in RES-ML and later testing.,{},,,,,"Changing solver equations between events, final test execution and automatic data-pipeline implementation.",40024,,,,,,,,,,,,,,RES-DAT,Research Deliverable; no lower Jira level is planned. Record citations in res-dat.bib and the research output in res-dat.tex.,,,"Assemble complete, reproducible specifications for the primary development event and a secondary held-out earthquake-generated tsunami event.",0|i000q7:,,"Case-definition tables, maps, selected datasets, provenance and explicit development/test allocation.","RES-DAT-GEO, RES-DAT-SRC, RES-DAT-OBS, RES-DAT-SCN and RES-DAT-UNC.",Authoritative primary and secondary event specifications suitable for independent reconstruction.,Medium,"Primary Tohoku case, secondary event selection, geographical extent, source data, bathymetry, topography, datums, simulation period, observation points, baseline configuration, scenario variants and known limitations.",,,,,,,,,,,,RES-DAT-CAS,,,,10378,SS-328,Environmental Data and Case-Study Definition,To Do,23/Jun/26 10:32 AM
System Boundary and Mathematical Model Architecture,SS-350,10400,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 10:32 AM,23/Jun/26 10:32 AM,,,,0,Define how the full tsunami–barrier problem is partitioned into mathematical regions and models.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"Model regions, ownership, transferred variables and the baseline earthquake-initial-condition treatment are explicit.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,One-off,,,,,,,Defined,,,Provides the organising structure for all RES-MOD deliverables.,{},,,,,"Event-data selection, numerical discretisation and final coupling implementation.",40025,,,,,,,,,,,,,,RES-MOD,Research Deliverable; no lower Jira level is planned. Record citations in res-mod.bib and the research output in res-mod.tex.,,,Define how the full tsunami–barrier problem is partitioned into mathematical regions and models.,0|i000qf:,,"Architecture diagram, region table and traceability to physical phenomena.","RES-PHY-SYN, RES-DAT-CAS, RES-GEO-REP and RES-STR-FSI.",A mathematical architecture and system-boundary specification.,Medium,"Offshore, nearshore, local barrier and structural regions; 2D and 3D roles; model interfaces; exchanged variables; earthquake represented as the baseline initial condition to the propagation model.",,,,,,,,,,,,RES-MOD-SYS,,,,10379,SS-329,Mathematical Model and Coupling,To Do,23/Jun/26 10:32 AM
